"Run Parameters"
"Parameter","Value"
"Chan 0, Detector: ","SEM"
"Chan 0, Mea Mode: ","SAMP"
"Chan 0, First Mass: ","28"
"Chan 0, Width: ","0"
"Chan 0, Dwell/Speed: ","0.2"
"Chan 0, Resolution: ","50"
"Chan 0, Amp Mode: ","Auto"
"Chan 0, Amp Range: ",""
"Chan 0, Pause Cal: ","0.3"
"Chan 0, SEM: ","0"
"Chan 1, Detector: ","SEM"
"Chan 1, Mea Mode: ","SAMP"
"Chan 1, First Mass: ","32"
"Chan 1, Width: ","0"
"Chan 1, Dwell/Speed: ","0.2"
"Chan 1, Resolution: ","50"
"Chan 1, Amp Mode: ","Auto"
"Chan 1, Amp Range: ",""
"Chan 1, Pause Cal: ","0.3"
"Chan 1, SEM: ","0"
"Chan 2, Detector: ","SEM"
"Chan 2, Mea Mode: ","SAMP"
"Chan 2, First Mass: ","40"
"Chan 2, Width: ","0"
"Chan 2, Dwell/Speed: ","0.5"
"Chan 2, Resolution: ","50"
"Chan 2, Amp Mode: ","Auto"
"Chan 2, Amp Range: ",""
"Chan 2, Pause Cal: ","0.3"
"Chan 2, SEM: ","0"
"Chan 3, Detector: ","SEM"
"Chan 3, Mea Mode: ","SAMP"
"Chan 3, First Mass: ","15"
"Chan 3, Width: ","0"
"Chan 3, Dwell/Speed: ","0.5"
"Chan 3, Resolution: ","50"
"Chan 3, Amp Mode: ","Auto"
"Chan 3, Amp Range: ",""
"Chan 3, Pause Cal: ","5"
"Chan 3, SEM: ","0"
"Chan 4, Detector: ","TP"
"Chan 4, Mea Mode: ","SAMP"
"Chan 4, First Mass: ","99"
"Chan 4, Width: ","0"
"Chan 4, Dwell/Speed: ","0.1"
"Chan 4, Resolution: ","50"
"Chan 4, Amp Mode: ","Auto"
"Chan 4, Amp Range: ",""
"Chan 4, Pause Cal: ","0.3"
"Chan 4, SEM: ","0"
"Chan 5, Detector: ","SEM"
"Chan 5, Mea Mode: ","SAMP"
"Chan 5, First Mass: ","29"
"Chan 5, Width: ","0"
"Chan 5, Dwell/Speed: ","0.5"
"Chan 5, Resolution: ","50"
"Chan 5, Amp Mode: ","Auto"
"Chan 5, Amp Range: ",""
"Chan 5, Pause Cal: ","0.3"
"Chan 5, SEM: ","0"
"Chan 6, Detector: ","SEM"
"Chan 6, Mea Mode: ","SAMP"
"Chan 6, First Mass: ","34"
"Chan 6, Width: ","0"
"Chan 6, Dwell/Speed: ","0.5"
"Chan 6, Resolution: ","50"
"Chan 6, Amp Mode: ","Auto"
"Chan 6, Amp Range: ",""
"Chan 6, Pause Cal: ","5"
"Chan 6, SEM: ","0"
"Chan 7, Detector: ","SEM"
"Chan 7, Mea Mode: ","SAMP"
"Chan 7, First Mass: ","33"
"Chan 7, Width: ","0"
"Chan 7, Dwell/Speed: ","0.5"
"Chan 7, Resolution: ","50"
"Chan 7, Amp Mode: ","Auto"
"Chan 7, Amp Range: ",""
"Chan 7, Pause Cal: ","0.3"
"Chan 7, SEM: ","0"

"Run Data"
"Index","Time","28","32","40","15","99","29","34","33","N2/Ar","O2/Ar","29/28","34/32","33/32"
22206,"11/5/2020 2:09:01 PM",1.276316E-10,5.899891E-11,3.008226E-12,4.249474E-13,3.932216E-07,9.607006E-13,2.961427E-13,1.186898E-13,42.42752,19.61253,0.00752714,0.00501946,0.002011728
22207,"11/5/2020 2:09:04 PM",1.275229E-10,5.896887E-11,2.999735E-12,4.316609E-13,3.932216E-07,9.628768E-13,2.935079E-13,1.227457E-13,42.51138,19.65803,0.007550621,0.004977336,0.002081534
22208,"11/5/2020 2:09:08 PM",1.276838E-10,5.901552E-11,2.997413E-12,4.33822E-13,3.913837E-07,9.709646E-13,2.992045E-13,1.1996E-13,42.598,19.68882,0.007604446,0.00506993,0.002032686
22209,"11/5/2020 2:09:11 PM",1.279139E-10,5.915214E-11,3.011504E-12,4.226138E-13,3.932216E-07,9.614704E-13,2.956399E-13,1.214579E-13,42.47508,19.64206,0.007516545,0.004997957,0.002053314
22210,"11/5/2020 2:09:15 PM",1.277578E-10,5.901081E-11,3.01256E-12,4.245003E-13,3.913837E-07,9.757841E-13,2.970835E-13,1.217916E-13,42.4084,19.58826,0.007637763,0.00503439,0.002063887
22211,"11/5/2020 2:09:18 PM",1.278128E-10,5.905114E-11,2.998759E-12,4.25726E-13,3.913837E-07,9.699824E-13,2.960355E-13,1.21932E-13,42.62188,19.69186,0.007589089,0.005013206,0.002064854
22212,"11/5/2020 2:09:22 PM",1.280387E-10,5.920996E-11,2.999769E-12,4.219592E-13,3.932216E-07,9.654165E-13,2.975671E-13,1.227796E-13,42.68284,19.73817,0.007540038,0.005025627,0.002073631
22213,"11/5/2020 2:09:25 PM",1.280771E-10,5.926086E-11,3.017578E-12,4.272623E-13,3.932216E-07,9.659718E-13,3.030675E-13,1.238235E-13,42.44369,19.63855,0.007542109,0.005114126,0.002089464
22214,"11/5/2020 2:09:29 PM",1.281369E-10,5.937095E-11,3.024125E-12,4.326139E-13,3.913837E-07,9.714657E-13,2.957473E-13,1.217336E-13,42.37156,19.63243,0.007581467,0.004981346,0.00205039
22215,"11/5/2020 2:09:32 PM",1.285224E-10,5.95622E-11,3.02424E-12,4.297638E-13,3.932216E-07,9.793555E-13,2.977989E-13,1.167632E-13,42.49743,19.69493,0.007620114,0.004999796,0.001960357
22216,"11/5/2020 2:09:36 PM",1.285567E-10,5.945679E-11,3.018892E-12,4.28436E-13,3.932216E-07,9.817089E-13,3.039286E-13,1.221014E-13,42.58407,19.6949,0.007636388,0.005111756,0.002053616
22217,"11/5/2020 2:09:39 PM",1.282889E-10,5.947527E-11,3.021017E-12,4.28611E-13,3.932216E-07,9.75342E-13,2.967187E-13,1.219604E-13,42.46548,19.68717,0.007602697,0.004988941,0.002050607
22218,"11/5/2020 2:09:43 PM",1.287978E-10,5.956477E-11,3.021099E-12,4.249715E-13,3.932216E-07,9.820594E-13,2.991451E-13,1.227427E-13,42.63275,19.71626,0.007624818,0.005022182,0.002060659
22219,"11/5/2020 2:09:46 PM",1.287638E-10,5.961621E-11,3.018658E-12,4.368082E-13,3.932216E-07,9.729603E-13,2.941221E-13,1.188244E-13,42.65599,19.74925,0.007556162,0.004933593,0.001993155
22220,"11/5/2020 2:09:50 PM",1.2912E-10,5.974327E-11,3.020142E-12,4.221268E-13,3.932216E-07,9.779672E-13,2.968703E-13,1.21313E-13,42.75297,19.78161,0.007574093,0.0049691,0.002030572
22221,"11/5/2020 2:09:53 PM",1.292631E-10,5.985442E-11,3.038842E-12,4.239113E-13,3.932216E-07,9.689048E-13,3.030025E-13,1.205702E-13,42.53697,19.69646,0.0074956,0.005062324,0.00201439
22222,"11/5/2020 2:09:57 PM",1.291652E-10,5.967562E-11,3.046431E-12,4.192233E-13,3.932216E-07,9.783118E-13,2.977589E-13,1.171408E-13,42.39886,19.5887,0.007574114,0.004989624,0.001962959
22223,"11/5/2020 2:10:01 PM",1.294455E-10,5.987109E-11,3.046241E-12,4.26548E-13,3.932216E-07,9.808385E-13,3.046458E-13,1.222778E-13,42.49352,19.65409,0.007577232,0.005088363,0.002042351
22224,"11/5/2020 2:10:04 PM",1.293936E-10,5.978795E-11,3.045414E-12,4.275028E-13,3.913837E-07,9.843891E-13,2.997576E-13,1.254428E-13,42.48803,19.63213,0.00760771,0.00501368,0.002098129
22225,"11/5/2020 2:10:08 PM",1.297076E-10,6.005439E-11,3.049799E-12,4.276544E-13,3.932216E-07,9.807686E-13,2.991012E-13,1.22232E-13,42.52988,19.69126,0.007561382,0.004980505,0.002035354
22226,"11/5/2020 2:10:11 PM",1.29793E-10,6.012197E-11,3.044827E-12,4.194072E-13,3.932216E-07,9.81652E-13,2.959039E-13,1.182307E-13,42.62738,19.74561,0.007563213,0.004921727,0.001966515
22227,"11/5/2020 2:10:15 PM",1.298932E-10,6.013523E-11,3.053276E-12,4.22529E-13,3.932216E-07,9.764004E-13,2.964671E-13,1.214461E-13,42.54224,19.69531,0.007516948,0.004930008,0.00201955
22228,"11/5/2020 2:10:18 PM",1.302627E-10,6.019783E-11,3.081364E-12,4.340449E-13,3.932216E-07,9.718866E-13,2.925768E-13,1.239198E-13,42.27438,19.5361,0.007460971,0.004860255,0.002058543
22229,"11/5/2020 2:10:22 PM",1.301401E-10,6.020325E-11,3.055888E-12,4.292975E-13,3.913837E-07,9.921161E-13,3.036613E-13,1.193105E-13,42.58666,19.70074,0.007623448,0.005043935,0.001981794
22230,"11/5/2020 2:10:25 PM",1.301303E-10,6.019221E-11,3.065391E-12,4.227445E-13,3.932216E-07,9.737001E-13,2.993096E-13,1.249072E-13,42.45146,19.63606,0.007482499,0.004972565,0.002075139
22231,"11/5/2020 2:10:29 PM",1.298599E-10,6.01281E-11,3.056309E-12,4.313528E-13,3.932216E-07,9.901174E-13,3.00509E-13,1.198413E-13,42.48912,19.67344,0.007624505,0.004997814,0.0019931
22232,"11/5/2020 2:10:32 PM",1.299252E-10,6.020311E-11,3.053169E-12,4.239156E-13,3.932216E-07,9.896751E-13,3.034486E-13,1.225034E-13,42.55423,19.71824,0.007617266,0.005040414,0.002034835
